network_id,region_id,resolution_group,group_size,group_members,is_merged_group,resolution_tier,resolution_reasons,training_samples,nearest_centroid_corr
Cingulate gyrus,23a,23a,1,23a,no,low_resolution,training_n<8 | nearest_centroid_corr>=0.95,1,0.9883819898767789
Cingulate gyrus,24a,24a,1,24a,no,low_resolution,training_n<8 | nearest_centroid_corr>=0.95,2,0.9921263569224462
Cingulate gyrus,24a',24a',1,24a',no,low_resolution,training_n<8 | nearest_centroid_corr>=0.95,3,0.993584167056963
Cingulate gyrus,24b,24b,1,24b,no,low_resolution,training_n<8 | nearest_centroid_corr>=0.95,3,0.9970498163780632
Cingulate gyrus,24c,24c,1,24c,no,low_resolution,nearest_centroid_corr>=0.95,12,0.9970498163780632
Cingulate gyrus,24c',24c',1,24c',no,low_resolution,training_n<8 | nearest_centroid_corr>=0.95,5,0.9946146019578612
Cingulate gyrus,31,31,1,31,no,low_resolution,training_n<8 | nearest_centroid_corr>=0.95,1,0.9902050795676933
Cingulate gyrus,23b,Cingulate gyrus::23b + 23c + 24b',3,23b | 23c | 24b',yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,4,0.9970483700450976
Cingulate gyrus,23c,Cingulate gyrus::23b + 23c + 24b',3,23b | 23c | 24b',yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,5,0.9970483700450976
Cingulate gyrus,24b',Cingulate gyrus::23b + 23c + 24b',3,23b | 23c | 24b',yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,3,0.994772648367798
Frontal (agranular frontal motor areas),F4,F4,1,F4,no,low_resolution,nearest_centroid_corr>=0.95,9,0.9876354640243044
Frontal (agranular frontal motor areas),F5,F5,1,F5,no,low_resolution,training_n<8 | nearest_centroid_corr>=0.95,7,0.9937676523236838
Frontal (agranular frontal motor areas),F6,F6,1,F6,no,low_resolution,nearest_centroid_corr>=0.95,8,0.9950991869179495
Frontal (agranular frontal motor areas),F1,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F7,4,F1 | F2 | F3 | F7,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,12,0.9942114931341467
Frontal (agranular frontal motor areas),F2,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F7,4,F1 | F2 | F3 | F7,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,12,0.9964344385419596
Frontal (agranular frontal motor areas),F3,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F7,4,F1 | F2 | F3 | F7,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,10,0.9961971438792575
Frontal (agranular frontal motor areas),F7,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F7,4,F1 | F2 | F3 | F7,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,7,0.9964344385419596
Hippocampal formation,HC,HC,1,HC,no,low_resolution,single_region_network;exact_resolution_not_testable,8,
Lateral Prefrontal Cortex,10m,10m,1,10m,no,low_resolution,cross_network_region,1,
Lateral Prefrontal Cortex,44,44,1,44,no,low_resolution,training_n<8 | nearest_centroid_corr>=0.95,5,0.9961768781228663
Lateral Prefrontal Cortex,9d,9d,1,9d,no,low_resolution,nearest_centroid_corr>=0.95,9,0.9960040591949721
Lateral Prefrontal Cortex,10o,Lateral Prefrontal Cortex::10o + 46d + 46v,3,10o | 46d | 46v,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,12,0.9877275263307267
Lateral Prefrontal Cortex,46d,Lateral Prefrontal Cortex::10o + 46d + 46v,3,10o | 46d | 46v,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,10,0.9976744890723618
